company,job_title,linkedin_job_id,location,posted_on,posted_date,employment_type,seniority_level
Google,Digital Marketing Strategist,view,"Gurugram, Haryana, India",2024-08-03,03-08-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,Mumbai Metropolitan Region,2024-07-31,31-07-2024,null,null
Google,Marketing Category Manager,view,"Gurgaon, Haryana, India",2024-07-17,17-07-2024,null,null
Google,Technical Recruiter,view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Gurgaon, Haryana, India",2024-07-31,31-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Pune, Maharashtra, India",2024-07-31,31-07-2024,null,null
Google,Technical Recruiter,view,"Hyderabad, Telangana, India",2024-07-24,24-07-2024,null,null
Google,"Product Specialist, Product and Sales Activation",view,"Gurugram, Haryana, India",2024-07-18,18-07-2024,null,null
Google,Marketing Category Manager,view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,null,null
Google,Data Analyst,view,"Hyderabad, Telangana, India",2024-07-19,19-07-2024,null,null
Google,Executive Recruiter,view,"Gurugram, Haryana, India",2024-08-05,05-08-2024,null,null
Google,Digital Marketing Strategist,view,"Hyderabad, Telangana, India",2024-08-03,03-08-2024,null,null
Google,"Software Engineer, Core",view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,null,null
Google,"Software Engineer, Core",view,"Hyderabad, Telangana, India",2024-08-03,03-08-2024,null,null
Google,"Accountant, Platforms and Ecosystems",view,"Hyderabad, Telangana, India",2024-07-19,19-07-2024,null,null
Google,Executive Recruiter,view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,null,null
Google,"Marketing Analytics Manager, Ads Marketing",view,"Gurugram, Haryana, India",2024-08-06,06-08-2024,null,null
Google,"Account Manager, Ad Sales",view,"Gurgaon, Haryana, India",2024-08-04,04-08-2024,null,null
Google,"Administrative Business Partner, Search Platforms",view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,null,null
Google,Executive Recruiter,view,"Hyderabad, Telangana, India",2024-08-05,05-08-2024,null,null
Google,"Growth Manager, AppDev (English, Hindi)",view,"Gurugram, Haryana, India",2024-07-26,26-07-2024,null,null
Google,"Software Engineer, Google Ads",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,null,null
Google,"Media lead, Marketing",view,"Gurgaon, Haryana, India",2024-08-05,05-08-2024,null,null
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,"Gurugram, Haryana, India",2024-08-01,01-08-2024,null,null
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,Mumbai Metropolitan Region,2024-08-01,01-08-2024,null,null
Google,"Embedded Software Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,null,null
Google,"Software Engineer, Payments",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,null,null
Google,"Product Manager, Customer Engagement",view,"Hyderabad, Telangana, India",2024-07-26,26-07-2024,null,null
Google,"Product Support Manager, Google Play",view,"Gurgaon, Haryana, India",2024-07-22,22-07-2024,null,null
Google,"Software Engineer, YouTube",view,"Bengaluru, Karnataka, India",2024-07-19,19-07-2024,null,null
Google,"Software Engineer, Payments",view,"Hyderabad, Telangana, India",2024-07-20,20-07-2024,null,null
Google,"Program Manager, Strategy and Operations",view,"Hyderabad, Telangana, India",2024-07-24,24-07-2024,null,null
Google,"Customer Onboarding Strategist, Acquisitions, Google Customer Solutions",view,"Bengaluru, Karnataka, India",2024-07-19,19-07-2024,null,null
Google,"Product Manager, Search",view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,null,null
Google,"Product Manager, Member Retention and Experience",view,"Bengaluru, Karnataka, India",2024-07-18,18-07-2024,null,null
Google,"Product Support Consultant, gTech",view,"Gurgaon, Haryana, India",2024-07-22,22-07-2024,null,null
Google,"Software Engineer, Front End, Google Cloud",view,"Bengaluru, Karnataka, India",2024-07-30,30-07-2024,null,null
Google,"Strategy and Operations Lead, Go-To-Market",view,"Gurgaon, Haryana, India",2024-08-02,02-08-2024,null,null
Google,"Business Intelligence Analyst, Finance",view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,null,null
Google,Technical Account Manager,view,"Gurugram, Haryana, India",2024-07-20,20-07-2024,null,null
Google,"Product Manager, Google Home/Nest Subscriptions",view,"Bengaluru, Karnataka, India",2024-07-30,30-07-2024,null,null
Google,"Program Manager, Vendor Quality Operations",view,"Bengaluru, Karnataka, India",2024-07-18,18-07-2024,null,null
Google,"Finance Lead, Payments, Finance",view,"Bengaluru, Karnataka, India",2024-08-03,03-08-2024,null,null
Google,"Research Scientist, Google Assistant",view,"Bengaluru, Karnataka, India",2024-07-18,18-07-2024,null,null
Google,"Product Manager, Google TV Smart Home Experiences",view,"Bengaluru, Karnataka, India",2024-07-20,20-07-2024,null,null
Google,"Workday Analyst, People Operations",view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,null,null
Google,Revenue Operations Finance Manager,view,"Bengaluru, Karnataka, India",2024-07-20,20-07-2024,null,null
Google,Service Delivery Manager,view,"Gurugram, Haryana, India",2024-08-07,07-08-2024,null,null
Google,"Product Manager, Play Store, CRM",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Google,"Administrative Business Partner, International Controllership",view,"Hyderabad, Telangana, India",2024-07-30,30-07-2024,null,null
Google,"Growth Manager, AppDev (English, Hindi)",view,"Bengaluru, Karnataka, India",2024-07-26,26-07-2024,null,null
Google,People Consultant (Fixed-Term Contract),view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Google,"Product Manager, Ads Incentives",view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,null,null
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,null,null
Google,"Financial Analyst, Ads Operations",view,"Gurgaon, Haryana, India",2024-08-06,06-08-2024,null,null
Google,"Silicon Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-07-29,29-07-2024,null,null
Google,"Product Manager, Google Cloud Business Platform",view,"Bengaluru, Karnataka, India",2024-07-30,30-07-2024,null,null
Google,"Business Finance Analyst, Finance, Google Customer Solutions",view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,null,null
Amazon,"Content Reviewer - Arabic, Amazon",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,HR Partner,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Content Reviewer - Arabic, Amazon",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Process Assistant, Amazon Fresh",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Front End Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,Learning & Development Associate,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Financial Analyst Intern, Accounting",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Quality Assurance Technician, IN Fresh",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Digital Marketing Associate,view,"Chennai, Tamil Nadu, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Analyst, IN Events",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Sales Associate, IN_Automotive",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Transportation Representative,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Team Lead, FC Dock",view,"Thane, Maharashtra, India",2024-08-07,07-08-2024,null,null
Amazon,Software Development Engineer I,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"HR Partner, APACMEA Corporate & Stores",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Development Associate, Amazon Business Advisory",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Senior Operations Manager,view,"Chennai, Tamil Nadu, India",2024-08-07,07-08-2024,null,null
Amazon,"Team Lead, Last mile",view,"Mysore, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Analyst, Advertising Trust Data",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Manager Investigations, Manager I , Know your Customer (KYC)",view,Greater Jaipur Area,2024-08-07,07-08-2024,null,null
Amazon,"Senior Associate, Amazon Retail India",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Software Development Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,Software Development Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Manager Investigations, Manager I , Know your Customer (KYC)",view,"Uttar Pradesh, India",2024-08-07,07-08-2024,null,null
Amazon,"Sr. Content Reviewer, Arabic, Amazon",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Software Development Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,Software Development Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Manager Investigations, Manager I , Know your Customer (KYC)",view,"Bangalore Urban, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Analyst II, Regulatory Intelligence Safety and Compliance, Global Data Analytics",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Manager Investigations, Manager I , Know your Customer (KYC)",view,Mumbai Metropolitan Region,2024-08-07,07-08-2024,null,null
Amazon,"Workflow Analyst , Amazon",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Site Operations Manager, AMZL (Last Mile) - South",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Associate Site Merchandiser, LA",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"AI Content Writer, Artificial General Intelligence Data Services",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,Team Lead,view,"Gurugram, Haryana, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Analyst, Advertising Trust Data",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Capacity Planning Analyst, WWCP",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,Quality Assurance Engineer,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Sr. FinOps Analyst,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Development Associate, Amazon Business Advisory",view,"Hubli, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Program Manager I,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Sr. RD manager, Regional Development, NSR",view,"Gurugram, Haryana, India",2024-08-07,07-08-2024,null,null
Amazon,"Manager Investigations, Manager I , Know your Customer (KYC)",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"AI Content Writer, Artificial General Intelligence Data Services",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Business Development Manager, Amazon Pay Gift cards",view,Mumbai Metropolitan Region,2024-08-07,07-08-2024,null,null
Amazon,Training Specialist,view,"Chennai, Tamil Nadu, India",2024-08-07,07-08-2024,null,null
Amazon,Program Manager I,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Sr Program Manager, Ops Excellence, Compliance",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Fashion Designer Menswear, IN Apparel, Amazon Private Brands",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,Sr Digital Marketing Associate,view,"Chennai, Tamil Nadu, India",2024-08-07,07-08-2024,null,null
Amazon,"Software Development Engineer, Amazon",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Supply Chain Manager III, ROC RS, Reverse Logistics",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,"Transportation Representative, Ship with Amazon",view,"West Bengal, India",2024-08-07,07-08-2024,null,null
Amazon,"Transportation Representative, Ship with Amazon",view,"West Bengal, India",2024-08-07,07-08-2024,null,null
Amazon,"AHS Specialist [DEU], Account Health Support",view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,null,null
Amazon,Quality Assurance Engineer,view,"Chennai, Tamil Nadu, India",2024-08-07,07-08-2024,null,null
Amazon,"Senior Program Manager, Payments, APAC Payment Business Operations",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,IT Support Associate II,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
Amazon,"Transportation Representative, Ship with Amazon",view,"West Bengal, India",2024-08-07,07-08-2024,null,null
Amazon,"Account Manager, Global Selling, ESM Consumables",view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,null,null
